start,end,type,confidence
EXP_9425c9,DAT_ddaef4,experiment_to_dataset,0.7
EXP_9425c9,DAT_2ef710,experiment_to_dataset,0.7
EXP_9425c9,DAT_831141,experiment_to_dataset,0.7
EXP_9425c9,DAT_eeaa7d,experiment_to_dataset,0.7
EXP_9425c9,DAT_779fa5,experiment_to_dataset,0.7
EXP_9425c9,DAT_81cfc7,experiment_to_dataset,0.7
EXP_9425c9,DAT_7b0b32,experiment_to_dataset,0.7
EXP_9425c9,DAT_451967,experiment_to_dataset,0.7
EXP_9425c9,DAT_d88a4b,experiment_to_dataset,0.7
EXP_9425c9,DAT_461690,experiment_to_dataset,0.7
EXP_9425c9,DAT_bc7d78,experiment_to_dataset,0.7
EXP_9425c9,DAT_424973,experiment_to_dataset,0.7
EXP_9425c9,DAT_8cf8ac,experiment_to_dataset,0.7
EXP_9425c9,DAT_c53843,experiment_to_dataset,0.7
EXP_9425c9,DAT_0bd55f,experiment_to_dataset,0.7
EXP_9425c9,DAT_db1b88,experiment_to_dataset,0.7
EXP_9425c9,DAT_7858c5,experiment_to_dataset,0.7
EXP_9425c9,DAT_128e7a,experiment_to_dataset,0.7
EXP_9425c9,DAT_48101b,experiment_to_dataset,0.7
EXP_9425c9,DAT_474bd6,experiment_to_dataset,0.7
EXP_9425c9,DAT_68672b,experiment_to_dataset,0.7
EXP_9425c9,DAT_b5778b,experiment_to_dataset,0.7
EXP_9425c9,DAT_aadaa6,experiment_to_dataset,0.7
EXP_9425c9,DAT_4f7f37,experiment_to_dataset,0.7
EXP_9425c9,DAT_60c8bb,experiment_to_dataset,0.7
EXP_9425c9,DAT_5391a0,experiment_to_dataset,0.7
EXP_9425c9,DAT_67299e,experiment_to_dataset,0.7
EXP_9425c9,DAT_65a6c1,experiment_to_dataset,0.7
EXP_9425c9,DAT_33d66d,experiment_to_dataset,0.7
EXP_9425c9,DAT_c3b81e,experiment_to_dataset,0.7
EXP_9425c9,DAT_45398e,experiment_to_dataset,0.7
EXP_9425c9,DAT_9ee783,experiment_to_dataset,0.7
EXP_9425c9,DAT_c850d3,experiment_to_dataset,0.7
EXP_9425c9,DAT_122ba2,experiment_to_dataset,0.7
EXP_9425c9,DAT_bbc354,experiment_to_dataset,0.7
EXP_9425c9,DAT_d277a2,experiment_to_dataset,0.7
EXP_9425c9,DAT_ebb56b,experiment_to_dataset,0.7
EXP_9425c9,DAT_5598ed,experiment_to_dataset,0.7
